Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
27.350	0.51000	60.641	0.016490	81.027	89.437	3.4732	6.1066	16.615	861.74	0.025981	7.9438e-06	0.099739	0.00074425	6.2148	0.16091	378.01	460.07	17.025	7.0302	19.117	379.12	12.632	1.4479e-06	0.029194
27.456	0.52000	60.436	0.016547	82.595	91.200	3.5315	6.1143	16.818	856.60	0.048807	7.8799e-06	0.099584	0.00072753	6.3438	0.15763	377.71	459.68	16.952	7.0450	19.365	379.21	12.559	1.4567e-06	0.029453
27.560	0.53000	60.230	0.016603	84.157	92.956	3.5894	6.1219	17.025	851.47	0.071786	7.8172e-06	0.099428	0.00071108	6.4736	0.15447	377.41	459.28	16.881	7.0597	19.619	379.29	12.486	1.4654e-06	0.029713
27.663	0.54000	60.026	0.016660	85.711	94.707	3.6468	6.1295	17.236	846.36	0.094930	7.7554e-06	0.099270	0.00069489	6.6042	0.15142	377.09	458.85	16.810	7.0746	19.880	379.36	12.415	1.4742e-06	0.029974
27.765	0.55000	59.821	0.016717	87.259	96.453	3.7037	6.1371	17.451	841.27	0.11825	7.6947e-06	0.099111	0.00067896	6.7356	0.14847	376.76	458.41	16.740	7.0895	20.147	379.42	12.345	1.4829e-06	0.030237
27.866	0.56000	59.617	0.016774	88.800	98.193	3.7603	6.1448	17.671	836.18	0.14175	7.6349e-06	0.098951	0.00066329	6.8678	0.14561	376.41	457.95	16.671	7.1044	20.421	379.48	12.275	1.4917e-06	0.030501
27.965	0.57000	59.413	0.016831	90.336	99.930	3.8165	6.1524	17.895	831.11	0.16544	7.5761e-06	0.098789	0.00064785	7.0009	0.14284	376.06	457.47	16.602	7.1194	20.702	379.53	12.206	1.5005e-06	0.030767
28.063	0.58000	59.208	0.016889	91.866	101.66	3.8723	6.1601	18.124	826.05	0.18934	7.5181e-06	0.098626	0.00063266	7.1349	0.14016	375.69	456.98	16.534	7.1345	20.990	379.57	12.138	1.5092e-06	0.031034
28.159	0.59000	59.004	0.016948	93.391	103.39	3.9277	6.1679	18.359	821.00	0.21345	7.4609e-06	0.098462	0.00061770	7.2698	0.13755	375.31	456.47	16.466	7.1496	21.286	379.61	12.070	1.5180e-06	0.031303
28.255	0.60000	58.800	0.017007	94.911	105.12	3.9829	6.1756	18.598	815.96	0.23778	7.4045e-06	0.098296	0.00060297	7.4057	0.13503	374.92	455.93	16.399	7.1648	21.590	379.63	12.004	1.5268e-06	0.031574
28.350	0.61000	58.596	0.017066	96.427	106.84	4.0377	6.1834	18.844	810.92	0.26235	7.3489e-06	0.098129	0.00058847	7.5426	0.13258	374.51	455.39	16.332	7.1800	21.903	379.66	11.937	1.5356e-06	0.031848
